C,random_state,dia_tipico__word_properties__granularity_mean,dia_tipico__word_properties__concreteness_mean,dia_tipico__word_properties__log_frq_mean,dia_tipico__word_properties__num_phonemes_mean,dia_tipico__word_properties__num_syll_mean,dia_tipico__word_properties__phon_neigh_mean,dia_tipico__mlu__mlu,dia_tipico__universal_dependencies__core_norm,dia_tipico__universal_dependencies__non-core_norm,dia_tipico__universal_dependencies__nominal_norm,dia_tipico__universal_dependencies__non-dependency_norm,dia_tipico__verbosity__mattr_all,dia_tipico__verbosity__ratio_noun_over_total,dia_tipico__verbosity__ratio_verb_over_total,dia_tipico__verbosity__ratio_adj_over_total,dia_tipico__verbosity__ratio_adv_over_total,dia_tipico__talking_intervals__nsyll,dia_tipico__talking_intervals__npauses,dia_tipico__talking_intervals__speechrate,dia_tipico__talking_intervals__syllable_duration_mean,dia_tipico__talking_intervals__pause_duration_mean
5.0,42.0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
5.0,42.0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1
5.0,42.0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
5.0,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
5.0,42.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0
5.0,42.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
5.0,42.0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
5.0,42.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
5.0,42.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
5.0,42.0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
5.0,42.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
5.0,42.0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
5.0,42.0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
5.0,42.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
5.0,42.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
5.0,42.0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
5.0,42.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
5.0,42.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
5.0,42.0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
5.0,42.0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
5.0,42.0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1
5.0,42.0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
5.0,42.0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
5.0,42.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
5.0,42.0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
5.0,42.0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
5.0,42.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
5.0,42.0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
5.0,42.0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
5.0,42.0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
5.0,42.0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1
5.0,42.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1
5.0,42.0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
5.0,42.0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0
5.0,42.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
5.0,42.0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1
5.0,42.0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
5.0,42.0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
5.0,42.0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
5.0,42.0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
5.0,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,42.0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
5.0,42.0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
5.0,42.0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
5.0,42.0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
5.0,42.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
5.0,42.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1
0.005,42.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
0.005,42.0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1
0.005,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
0.005,42.0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
0.005,42.0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
0.005,42.0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1
0.005,42.0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
0.005,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
0.005,42.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0
0.005,42.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
0.005,42.0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
0.005,42.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
0.005,42.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
0.005,42.0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
0.005,42.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
0.005,42.0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
0.005,42.0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
0.005,42.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
0.005,42.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
0.005,42.0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
0.005,42.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
0.005,42.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
0.005,42.0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
0.005,42.0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
0.005,42.0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1
0.005,42.0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
0.005,42.0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
0.005,42.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
0.005,42.0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
0.005,42.0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
0.005,42.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
0.005,42.0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
0.005,42.0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
0.005,42.0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
0.005,42.0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1
0.005,42.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1
0.005,42.0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
0.005,42.0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0
0.005,42.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
0.005,42.0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1
0.005,42.0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
0.005,42.0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
0.005,42.0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
0.005,42.0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
0.005,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.005,42.0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
0.005,42.0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
0.005,42.0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
0.005,42.0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
0.005,42.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
0.005,42.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1
7.0,42.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
7.0,42.0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1
7.0,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
7.0,42.0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
7.0,42.0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
7.0,42.0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1
7.0,42.0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
7.0,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
7.0,42.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0
7.0,42.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
7.0,42.0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
7.0,42.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
7.0,42.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
7.0,42.0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
7.0,42.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
7.0,42.0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
7.0,42.0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
7.0,42.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
7.0,42.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
7.0,42.0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
7.0,42.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
7.0,42.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
7.0,42.0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
7.0,42.0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
7.0,42.0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1
7.0,42.0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
7.0,42.0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
7.0,42.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
7.0,42.0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
7.0,42.0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
7.0,42.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
7.0,42.0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
7.0,42.0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
7.0,42.0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
7.0,42.0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1
7.0,42.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1
7.0,42.0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
7.0,42.0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0
7.0,42.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
7.0,42.0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1
7.0,42.0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
7.0,42.0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
7.0,42.0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
7.0,42.0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
7.0,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,42.0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
7.0,42.0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
7.0,42.0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
7.0,42.0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
7.0,42.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
7.0,42.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1
8.0,42.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
8.0,42.0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1
8.0,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
8.0,42.0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
8.0,42.0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
8.0,42.0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1
8.0,42.0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
8.0,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
8.0,42.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0
8.0,42.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
8.0,42.0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
8.0,42.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
8.0,42.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
8.0,42.0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
8.0,42.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
8.0,42.0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
8.0,42.0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
8.0,42.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
8.0,42.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
8.0,42.0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
8.0,42.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
8.0,42.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
8.0,42.0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
8.0,42.0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
8.0,42.0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1
8.0,42.0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
8.0,42.0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
8.0,42.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
8.0,42.0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
8.0,42.0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
8.0,42.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
8.0,42.0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
8.0,42.0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
8.0,42.0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
8.0,42.0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1
8.0,42.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1
8.0,42.0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
8.0,42.0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0
8.0,42.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
8.0,42.0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1
8.0,42.0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
8.0,42.0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
8.0,42.0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
8.0,42.0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
8.0,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.0,42.0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
8.0,42.0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
8.0,42.0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
8.0,42.0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
8.0,42.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
8.0,42.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1
0.2,42.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
0.2,42.0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1
0.2,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
0.2,42.0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
0.2,42.0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
0.2,42.0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1
0.2,42.0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
0.2,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
0.2,42.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0
0.2,42.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
0.2,42.0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
0.2,42.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
0.2,42.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
0.2,42.0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
0.2,42.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
0.2,42.0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
0.2,42.0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
0.2,42.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
0.2,42.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
0.2,42.0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
0.2,42.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
0.2,42.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
0.2,42.0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
0.2,42.0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
0.2,42.0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1
0.2,42.0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
0.2,42.0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
0.2,42.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
0.2,42.0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
0.2,42.0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
0.2,42.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
0.2,42.0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
0.2,42.0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
0.2,42.0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
0.2,42.0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1
0.2,42.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1
0.2,42.0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
0.2,42.0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0
0.2,42.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
0.2,42.0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1
0.2,42.0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
0.2,42.0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
0.2,42.0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
0.2,42.0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
0.2,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,42.0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
0.2,42.0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
0.2,42.0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
0.2,42.0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
0.2,42.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
0.2,42.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1
0.30000000000000004,42.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
0.30000000000000004,42.0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1
0.30000000000000004,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
0.30000000000000004,42.0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
0.30000000000000004,42.0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
0.30000000000000004,42.0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1
0.30000000000000004,42.0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
0.30000000000000004,42.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
0.30000000000000004,42.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0
0.30000000000000004,42.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
0.30000000000000004,42.0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
0.30000000000000004,42.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
0.30000000000000004,42.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
0.30000000000000004,42.0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
0.30000000000000004,42.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
0.30000000000000004,42.0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
0.30000000000000004,42.0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
0.30000000000000004,42.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
